"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Year",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Apples",1.32,1.18,1.22,1.35,1.38,1.39,1.35,1.36,1.44,1.29,NA,NA,NA,NA,NA,NA
"Bananas",0.61,0.61,0.58,0.61,0.6,0.6,0.6,0.58,0.57,0.56,0.57,0.57,0.58,0.6,0.64,0.63
"Broccoli",1.67,1.6,1.58,1.7,1.6,1.85,1.76,1.79,1.63,1.81,1.85,2,1.99,NA,NA,NA
"Cabbages",0.64,0.6,0.63,0.71,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carrots",0.79,NA,NA,0.76,NA,0.75,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Celery",NA,NA,0.82,0.93,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherries",3.72,2.99,3.24,3.4,3.29,4.05,NA,3.6,3.47,3.77,4.2,3.94,NA,NA,NA,NA
"Eggs--grade A",1.99,1.66,1.66,1.77,1.84,1.91,2.02,2.47,1.68,1.47,1.74,1.4,1.51,1.67,2.86,2.98
"Grapefruit",0.97,0.9,0.93,0.98,1.08,1.05,1.11,1.09,1.16,1.28,1.35,1.35,1.21,NA,NA,1.61
"Grapes",2.21,2.11,2.18,2.39,2.49,2.49,2.64,2.59,2.76,2.64,2.58,2.45,2.28,2.46,NA,NA
"Lemons",2.01,1.52,1.63,1.58,1.56,1.58,1.97,1.98,2.04,2.01,2.25,2.13,1.93,1.98,2.13,2.17
"Lettuce--iceberg",0.91,0.91,0.87,0.99,0.86,1.01,1.05,1.16,1.06,1.03,0.94,1.18,1.29,NA,NA,1.65
"Lettuce--romaine",1.71,1.76,1.79,1.78,1.52,1.71,1.69,1.99,1.92,2.11,2.1,2.2,2.09,3.27,3.14,2.77
"Oranges",1.12,1.05,1.06,1.1,1.05,1.15,1.32,1.3,1.25,1.34,1.41,1.37,1.25,1.36,1.57,1.56
"Peaches",1.64,1.63,1.75,1.64,1.7,1.67,1.94,1.81,1.78,2.02,2.08,2.07,2.09,NA,NA,NA
"Pears",1.33,1.3,1.29,1.41,1.25,NA,NA,NA,1.67,1.6,1.58,1.6,NA,NA,NA,NA
"Peppers",2.36,NA,2.35,2.63,2.42,2.35,2.53,2.44,2.38,2.22,2.37,2.4,2.45,NA,NA,NA
"Strawberries",2.29,2.1,2.19,2.08,1.99,2.02,2.29,2.22,2.44,2.34,2.34,2.46,2.49,2.67,2.88,2.78
"Tomatoes",1.74,1.62,1.69,1.67,1.46,1.53,1.71,1.84,1.93,1.93,1.92,1.93,1.96,1.85,1.91,1.91
